Varenavn;Pris;Volum;Alkohol;AlkPerKrone
Marques de Somera Tempranillo 2016;109.9;0.75;13;0.088717015
Blossom Hill Chardonnay 2016;109.9;0.75;13;0.088717015
Garcia Carrion Castillo San Simón Crianza 2011;109.9;0.75;13;0.088717015
Epicuro Nero d'Avola Merlot 2015;109.9;0.75;13;0.088717015
Quinta da Espiga 2016;109.9;0.75;13;0.088717015
Torre Oria Gran Reserva 2012;109.9;0.75;13;0.088717015
Félix Solis Viña Albali Tempranillo Rosado 2015;109.9;0.75;13;0.088717015
Mommessin Renovatio Rosé 2015;109.9;0.75;13;0.088717015
Rasgon de Maria Tempranillo Garnacha 2016;109.9;0.75;13;0.088717015
Valdemoreda Tinto 2013;109.9;0.75;13;0.088717015
Antaño 2013;109.9;0.75;13;0.088717015
Hardys Varietal Range Chardonnay 2017;109.9;0.75;13;0.088717015
Hardys Varietal Range Shiraz 2016;109.9;0.75;13;0.088717015
Passolo 2016;109.9;0.75;13;0.088717015
Uka-17 2016;109.9;0.75;13;0.088717015
à Table! Rosé;109.9;0.75;13;0.088717015
Ca'del Masso Barbera Appassimento;109.9;0.75;13;0.088717015
Skåne Akvavit;299.9;0.7;38;0.088696232
Barracuda Silver Rum;299.9;0.7;38;0.088696232
Piccini Rosso di Toscana;439.9;3;13;0.088656513
DC Black Granite Shiraz 2015;439.9;3;13;0.088656513
Rocca di Castagnoli Rosso della Rocca 2013;439.9;3;13;0.088656513
Masi Masianco 2017;439.9;3;13;0.088656513
Zaccagnini Yamada Pecorino 2017;439.9;3;13;0.088656513
Domìni Veneti Corvina 2015;439.9;3;13;0.088656513
Villa Triscani Governo 2015;439.9;3;13;0.088656513
Montecillo Deseos Tempranillo 2014;439.9;3;13;0.088656513
Vicara Barbera del Monferrato 2016;440;3;13;0.088636364
My Favorite Syrah Wine 2014;40.9;0.25;14.5;0.088630807
Quien Bordeaux Blanc 2015;110.1;0.75;13;0.088555858
Tommasi Graticcio Appassionato 2016;423.5;3;12.5;0.088547816
Mezzacorona Pinot Grigio 2017;389.9;3;11.5;0.088484227
Baron Due Leoni Rosé 2016;389.9;3;11.5;0.088484227
Foucher Chardonnay 2016;389.9;3;11.5;0.088484227
Paternina Banda Azul Crianza 2013;114.5;0.75;13.5;0.088427948
Fruko-Schulz Absinth;339.9;0.5;60;0.088261253
Saint Jean de la Cavalerie Chardonnay;424.9;3;12.5;0.08825606
Paxis Pinot Noir 2013;114.9;0.75;13.5;0.088120104
Glen Scanlan;454;1;40;0.088105727
Signature Series Brunel Côtes du Rhône;459.9;3;13.5;0.088062622
Footsteps California Cabernet Sauvignon 2015;459.9;3;13.5;0.088062622
Gran Passione Veneto Rosso;459.9;3;13.5;0.088062622
La Galope Sauvignon Blanc 2014;409.9;3;12;0.087826299
Devil's Rock Riesling 2017;409.9;3;12;0.087826299
Prà Soave 2017;409.9;3;12;0.087826299
Allram Grüner Veltliner 2016;409.9;3;12;0.087826299
Lupi Reali Montepulciano d'Abruzzo 2016;409.9;3;12;0.087826299
Biovidis Alain Barbetorte 2014;399.9;3;11.7;0.087771943
Bienbebido Jamón 2012;115.4;0.75;13.5;0.087738302
Jacob's Creek Shiraz Cabernet 2016;118.9;0.75;13.9;0.087678722
Jacob's Creek Merlot 2017;118.9;0.75;13.9;0.087678722
Monte del Frá Skravlevin Corvina 2015;444.9;3;13;0.087660148
Pure Diamond Vodka;299.5;0.7;37.5;0.087646077
Villalta Bipasso;445;3;13;0.087640449
Campo Viejo Crianza 2015;119.9;0.75;14;0.087572977
Riondo Appasimento Il Cuore per Martina 2014;119.9;0.75;14;0.087572977
Finkenauer Festivalvin 2015;411.1;3;12;0.087569934
Expresso Mokka Pinotage 2010;239.9;1.5;14;0.087536474
Amundsen Arctic Vodka;299.9;0.7;37.5;0.087529176
Negrita White;299.9;0.7;37.5;0.087529176
Smirnoff No. 21;299.9;0.7;37.5;0.087529176
;;;;
;Pris:;;;
;498.4;;;
