Varenavn;Pris;Volum;Alkohol;AlkPerKrone
Escada Touriga Nacional;394.9;3;13;0.09875918
Blossom Hill;379.9;3;12.5;0.098710187
Casillero del Diablo Reserva Chardonnay 2017;379.9;3;12.5;0.098710187
Valpantena Corvina 2017;379.9;3;12.5;0.098710187
Bons-Ventos;379.9;3;12.5;0.098710187
Hardys Varietal Range Chardonnay 2017;379.9;3;12.5;0.098710187
Me Gusta Carmenère;379.9;3;12.5;0.098710187
Red Rock Zin Zinfandel;379.9;3;12.5;0.098710187
Rebellious Riesling 2016;380;3;12.5;0.098684211
Ramon Ramos Tinta de Toro;425.9;3;14;0.098614698
Wild South Sauvignon Blanc Chardonnay 2017;349.9;3;11.5;0.0985996
Portuga 2017;349.9;3;11.5;0.0985996
Freedom Bridge 2016;349.9;3;11.5;0.0985996
SomeZin Zinfandel 2015;426;3;14;0.098591549
La Boiselière;351;3;11.5;0.098290598
Foncalieu Puy Chéri Syrah Rosé 2017;381.6;3;12.5;0.09827044
Dominic Basket Case Pinot Noir 2017;298;2.25;13;0.098154362
Piccini Sangiovese Rosato 2016;264.9;2;13;0.098150245
Lavradores de Feitoria 2016;264.9;2;13;0.098150245
Bonpas Luberon 2015;99.5;0.75;13;0.09798995
Moscatel de Cheste;459.9;3;15;0.097847358
Cruzado Garnacha 2017;399;3;13;0.097744361
Barone Montalto Nero d'Avola Collezione di Famiglia 2017;414.9;3;13.5;0.097613883
Cono Sur Bicicleta Gewürztraminer 2017;414.9;3;13.5;0.097613883
Torri Montepulciano d'Abruzzo;414.9;3;13.5;0.097613883
Blossa Vinglögg;204.9;2;10;0.09760859
Jacob`s Creek Wah Sushi-vin 2013;99.9;0.75;13;0.097597598
Piccini Sangiovese Rosato 2014;99.9;0.75;13;0.097597598
Dona Helena 2014;99.9;0.75;13;0.097597598
Wild South Shiraz Cabernet Sauvignon 2017;99.9;0.75;13;0.097597598
Cantina Segreti Reserva 2014;99.9;0.75;13;0.097597598
Cuvée Madame Demoiselles Rosé 2016;99.9;0.75;13;0.097597598
Giacondi Sangiovese Rubicone IGT;99.9;0.75;13;0.097597598
Da Luca Primitivo Merlot 2016;415;3;13.5;0.097590361
El Toro Avanzado Montsant 2014;415;3;13.5;0.097590361
Pardon my French Rosé 2017;199.9;1.5;13;0.097548774
